Port Location,Port Location(key),Type,Type(key),Host Group Name / iSCSI Target Alias,Host Group Name / iSCSI Target Alias(key),Host Group ID / iSCSI Target ID,Host Group ID / iSCSI Target ID(key),iSCSI Target Name,iSCSI Target Name(key),Resource Group Name,Resource Group Name(key),Resource Group ID,Resource Group ID(key),Number of LUNs,Number of LUNs(key),Number of LDEVs,Number of LDEVs(key),Number of PGs,Number of PGs(key),Number of DKBs,Number of DKBs(key),Total LDEV Capacity(MB),Total LDEV Capacity(MB)(key),Port Security,Port Security(key),Authentication : Method,Authentication : Method(key),Authentication : Mutual CHAP,Authentication : Mutual CHAP(key),Authentication : User Name,Authentication : User Name(key),Authentication : Number of Users,Authentication : Number of Users(key),Host Mode,Host Mode(key),Host Mode Option,Host Mode Option(key),Number of Hosts,Number of Hosts(key)
1A,1000000,8FC4 (CHB),1000000,1A-G00,1000000,00,1000000,-,1000000,meta_resource,1000000,0,1000000,32,1000012,32,1000012,2,1000010,2,1000004,12700416.00,1000012,Disabled,1000000,-,1000000,-,1000000,-,1000000,-,1000000,09,1000002,25,1000002,0,1000000
3A,1000004,8FC4 (CHB),1000001,3A-G00,1000004,00,1000001,-,1000001,meta_resource,1000001,0,1000001,32,1000013,32,1000013,2,1000011,2,1000005,12700416.00,1000013,Disabled,1000001,-,1000001,-,1000001,-,1000001,-,1000001,09,1000003,25,1000003,0,1000001
5A,1000008,8FC4 (CHB),1000002,5A-G00,1000008,00,1000002,-,1000002,meta_resource,1000002,0,1000002,6,1000008,6,1000008,1,1000004,2,1000006,819712.00,1000006,Disabled,1000002,-,1000002,-,1000002,-,1000002,-,1000002,09,1000004,25,1000004,0,1000002
7A,1000012,8FC4 (CHB),1000003,7A-G00,1000012,00,1000003,-,1000003,meta_resource,1000003,0,1000003,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,Disabled,1000003,-,1000003,-,1000003,-,1000003,-,1000003,09,1000005,25,1000005,0,1000003
1B,1000001,8FC4 (CHB),1000004,1B-G00,1000001,00,1000004,-,1000004,meta_resource,1000004,0,1000004,5,1000006,5,1000006,2,1000012,2,1000007,534528.00,1000004,Disabled,1000004,-,1000004,-,1000004,-,1000004,-,1000004,09,1000006,25,1000006,0,1000004
3B,1000005,8FC4 (CHB),1000005,3B-G00,1000005,00,1000005,-,1000005,meta_resource,1000005,0,1000005,6,1000009,6,1000009,1,1000005,2,1000008,819712.00,1000007,Disabled,1000005,-,1000005,-,1000005,-,1000005,-,1000005,09,1000007,25,1000007,0,1000005
5B,1000009,8FC4 (CHB),1000006,5B-G00,1000009,00,1000006,-,1000006,meta_resource,1000006,0,1000006,3,1000004,3,1000004,1,1000006,2,1000009,921856.00,1000010,Disabled,1000006,-,1000006,-,1000006,-,1000006,-,1000006,09,1000008,25,1000008,0,1000006
7B,1000013,8FC4 (CHB),1000007,7B-G00,1000013,00,1000007,-,1000007,meta_resource,1000007,0,1000007,0,1000001,0,1000001,0,1000001,0,1000001,0,1000001,Disabled,1000007,-,1000007,-,1000007,-,1000007,-,1000007,00,1000000,,1000000,0,1000007
2A,1000002,8FC4 (CHB),1000008,2A-G00,1000002,00,1000008,-,1000008,meta_resource,1000008,0,1000008,32,1000014,32,1000014,2,1000013,2,1000010,12700416.00,1000014,Disabled,1000008,-,1000008,-,1000008,-,1000008,-,1000008,09,1000009,25,1000009,0,1000008
4A,1000006,8FC4 (CHB),1000009,4A-G00,1000006,00,1000009,-,1000009,meta_resource,1000009,0,1000009,32,1000015,32,1000015,2,1000014,2,1000011,12700416.00,1000015,Disabled,1000009,-,1000009,-,1000009,-,1000009,-,1000009,09,1000010,25,1000010,0,1000009
6A,1000010,8FC4 (CHB),1000010,6A-G00,1000010,00,1000010,-,1000010,meta_resource,1000010,0,1000010,6,1000010,6,1000010,1,1000007,2,1000012,819712.00,1000008,Disabled,1000010,-,1000010,-,1000010,-,1000010,-,1000010,09,1000011,25,1000011,0,1000010
8A,1000014,8FC4 (CHB),1000011,8A-G00,1000014,00,1000011,-,1000011,meta_resource,1000011,0,1000011,0,1000002,0,1000002,0,1000002,0,1000002,0,1000002,Disabled,1000011,-,1000011,-,1000011,-,1000011,-,1000011,09,1000012,25,1000012,0,1000011
2B,1000003,8FC4 (CHB),1000012,2B-G00,1000003,00,1000012,-,1000012,meta_resource,1000012,0,1000012,5,1000007,5,1000007,2,1000015,2,1000013,534528.00,1000005,Disabled,1000012,-,1000012,-,1000012,-,1000012,-,1000012,09,1000013,25,1000013,0,1000012
4B,1000007,8FC4 (CHB),1000013,4B-G00,1000007,00,1000013,-,1000013,meta_resource,1000013,0,1000013,6,1000011,6,1000011,1,1000008,2,1000014,819712.00,1000009,Disabled,1000013,-,1000013,-,1000013,-,1000013,-,1000013,09,1000014,25,1000014,0,1000013
6B,1000011,8FC4 (CHB),1000014,6B-G00,1000011,00,1000014,-,1000014,meta_resource,1000014,0,1000014,3,1000005,3,1000005,1,1000009,2,1000015,921856.00,1000011,Disabled,1000014,-,1000014,-,1000014,-,1000014,-,1000014,09,1000015,25,1000015,0,1000014
8B,1000015,8FC4 (CHB),1000015,8B-G00,1000015,00,1000015,-,1000015,meta_resource,1000015,0,1000015,0,1000003,0,1000003,0,1000003,0,1000003,0,1000003,Disabled,1000015,-,1000015,-,1000015,-,1000015,-,1000015,00,1000001,,1000001,0,1000015
